Code, Continent, Min_max_income, Country
ABW,East Asia & Pacific,High income,Aruba
AFG,East Asia & Pacific,Low income,Afghanistan
AGO,East Asia & Pacific,Lower middle income,Angola
ALB,East Asia & Pacific,Upper middle income,Albania
AND,East Asia & Pacific,High income,Andorra
ARB,East Asia & Pacific,,Arab World
ARE,East Asia & Pacific,High income,United Arab Emirates
ARG,East Asia & Pacific,Upper middle income,Argentina
ARM,East Asia & Pacific,Upper middle income,Armenia
ASM,East Asia & Pacific,Upper middle income,American Samoa
ATG,East Asia & Pacific,High income,Antigua and Barbuda
AUS,East Asia & Pacific,High income,Australia
AUT,East Asia & Pacific,High income,Austria
AZE,East Asia & Pacific,Upper middle income,Azerbaijan
BDI,East Asia & Pacific,Low income,Burundi
BEL,East Asia & Pacific,High income,Belgium
BEN,East Asia & Pacific,Low income,Benin
BFA,East Asia & Pacific,Low income,Burkina Faso
BGD,East Asia & Pacific,Lower middle income,Bangladesh
BGR,East Asia & Pacific,Upper middle income,Bulgaria
BHR,East Asia & Pacific,High income,Bahrain
BHS,East Asia & Pacific,High income,"Bahamas, The"
BIH,East Asia & Pacific,Upper middle income,Bosnia and Herzegovina
BLR,East Asia & Pacific,Upper middle income,Belarus
BLZ,East Asia & Pacific,Upper middle income,Belize
BMU,East Asia & Pacific,High income,Bermuda
BOL,East Asia & Pacific,Lower middle income,Bolivia
BRA,East Asia & Pacific,Upper middle income,Brazil
BRB,East Asia & Pacific,High income,Barbados
BRN,East Asia & Pacific,High income,Brunei Darussalam
BTN,East Asia & Pacific,Lower middle income,Bhutan
BWA,East Asia & Pacific,Upper middle income,Botswana
CAF,East Asia & Pacific,Low income,Central African Republic
CAN,East Asia & Pacific,High income,Canada
CEB,East Asia & Pacific,,Central Europe and the Baltics
CHE,East Asia & Pacific,High income,Switzerland
CHI,East Asia & Pacific,High income,Channel Islands
CHL,Europe & Central Asia,High income,Chile
CHN,Europe & Central Asia,Upper middle income,China
CIV,Europe & Central Asia,Lower middle income,Côte d'Ivoire
CMR,Europe & Central Asia,Lower middle income,Cameroon
COD,Europe & Central Asia,Low income,"Congo, Dem. Rep."
COG,Europe & Central Asia,Lower middle income,"Congo, Rep."
COL,Europe & Central Asia,Upper middle income,Colombia
COM,Europe & Central Asia,Lower middle income,Comoros
CPV,Europe & Central Asia,Lower middle income,Cabo Verde
CRI,Europe & Central Asia,Upper middle income,Costa Rica
CSS,Europe & Central Asia,,Caribbean small states
CUB,Europe & Central Asia,Upper middle income,Cuba
CUW,Europe & Central Asia,High income,Curaçao
CYM,Europe & Central Asia,High income,Cayman Islands
CYP,Europe & Central Asia,High income,Cyprus
CZE,Europe & Central Asia,High income,Czech Republic
DEU,Europe & Central Asia,High income,Germany
DJI,Europe & Central Asia,Lower middle income,Djibouti
DMA,Europe & Central Asia,Upper middle income,Dominica
DNK,Europe & Central Asia,High income,Denmark
DOM,Europe & Central Asia,Upper middle income,Dominican Republic
DZA,Europe & Central Asia,Upper middle income,Algeria
EAP,Europe & Central Asia,,East Asia & Pacific (excluding high income)
EAR,Europe & Central Asia,,Early-demographic dividend
EAS,Europe & Central Asia,,East Asia & Pacific
ECA,Europe & Central Asia,,Europe & Central Asia (excluding high income)
ECS,Europe & Central Asia,,Europe & Central Asia
ECU,Europe & Central Asia,Upper middle income,Ecuador
EGY,Europe & Central Asia,Lower middle income,"Egypt, Arab Rep."
EMU,Europe & Central Asia,,Euro area
ERI,Europe & Central Asia,Low income,Eritrea
ESP,Europe & Central Asia,High income,Spain
EST,Europe & Central Asia,High income,Estonia
ETH,Europe & Central Asia,Low income,Ethiopia
EUU,Europe & Central Asia,,European Union
FCS,Europe & Central Asia,,Fragile and conflict affected situations
FIN,Europe & Central Asia,High income,Finland
FJI,Europe & Central Asia,Upper middle income,Fiji
FRA,Europe & Central Asia,High income,France
FRO,Europe & Central Asia,High income,Faroe Islands
FSM,Europe & Central Asia,Lower middle income,"Micronesia, Fed. Sts."
GAB,Europe & Central Asia,Upper middle income,Gabon
GBR,Europe & Central Asia,High income,United Kingdom
GEO,Europe & Central Asia,Upper middle income,Georgia
GHA,Europe & Central Asia,Lower middle income,Ghana
GIB,Europe & Central Asia,High income,Gibraltar
GIN,Europe & Central Asia,Low income,Guinea
GMB,Europe & Central Asia,Low income,"Gambia, The"
GNB,Europe & Central Asia,Low income,Guinea-Bissau
GNQ,Europe & Central Asia,Upper middle income,Equatorial Guinea
GRC,Europe & Central Asia,High income,Greece
GRD,Europe & Central Asia,Upper middle income,Grenada
GRL,Europe & Central Asia,High income,Greenland
GTM,Europe & Central Asia,Upper middle income,Guatemala
GUM,Europe & Central Asia,High income,Guam
GUY,Europe & Central Asia,Upper middle income,Guyana
HIC,Europe & Central Asia,,High income
HKG,Europe & Central Asia,High income,"Hong Kong SAR, China"
HND,Latin America & Caribbean,Lower middle income,Honduras
HPC,Latin America & Caribbean,,Heavily indebted poor countries (HIPC)
HRV,Latin America & Caribbean,High income,Croatia
HTI,Latin America & Caribbean,Low income,Haiti
HUN,Latin America & Caribbean,High income,Hungary
IBD,Latin America & Caribbean,,IBRD only
IBT,Latin America & Caribbean,,IDA & IBRD total
IDA,Latin America & Caribbean,,IDA total
IDB,Latin America & Caribbean,,IDA blend
IDN,Latin America & Caribbean,Lower middle income,Indonesia
IDX,Latin America & Caribbean,,IDA only
IMN,Latin America & Caribbean,High income,Isle of Man
IND,Latin America & Caribbean,Lower middle income,India
IRL,Latin America & Caribbean,High income,Ireland
IRN,Latin America & Caribbean,Upper middle income,"Iran, Islamic Rep."
IRQ,Latin America & Caribbean,Upper middle income,Iraq
ISL,Latin America & Caribbean,High income,Iceland
ISR,Latin America & Caribbean,High income,Israel
ITA,Latin America & Caribbean,High income,Italy
JAM,Latin America & Caribbean,Upper middle income,Jamaica
JOR,Latin America & Caribbean,Upper middle income,Jordan
JPN,Latin America & Caribbean,High income,Japan
KAZ,Latin America & Caribbean,Upper middle income,Kazakhstan
KEN,Latin America & Caribbean,Lower middle income,Kenya
KGZ,Latin America & Caribbean,Lower middle income,Kyrgyz Republic
KHM,Latin America & Caribbean,Lower middle income,Cambodia
KIR,Latin America & Caribbean,Lower middle income,Kiribati
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis
KOR,Latin America & Caribbean,High income,"Korea, Rep."
KWT,Latin America & Caribbean,High income,Kuwait
LAC,Latin America & Caribbean,,Latin America & Caribbean (excluding high income)
LAO,Latin America & Caribbean,Lower middle income,Lao PDR
LBN,Latin America & Caribbean,Upper middle income,Lebanon
LBR,Latin America & Caribbean,Low income,Liberia
LBY,Latin America & Caribbean,Upper middle income,Libya
LCA,Latin America & Caribbean,Upper middle income,St. Lucia
LCN,Latin America & Caribbean,,Latin America & Caribbean
LDC,Latin America & Caribbean,,Least developed countries: UN classification
LIC,Latin America & Caribbean,,Low income
LIE,Latin America & Caribbean,High income,Liechtenstein
LKA,Latin America & Caribbean,Upper middle income,Sri Lanka
LMC,Latin America & Caribbean,,Lower middle income
LMY,Middle East & North Africa,,Low & middle income
LSO,Middle East & North Africa,Lower middle income,Lesotho
LTE,Middle East & North Africa,,Late-demographic dividend
LTU,Middle East & North Africa,High income,Lithuania
LUX,Middle East & North Africa,High income,Luxembourg
LVA,Middle East & North Africa,High income,Latvia
MAC,Middle East & North Africa,High income,"Macao SAR, China"
MAF,Middle East & North Africa,High income,St. Martin (French part)
MAR,Middle East & North Africa,Lower middle income,Morocco
MCO,Middle East & North Africa,High income,Monaco
MDA,Middle East & North Africa,Lower middle income,Moldova
MDG,Middle East & North Africa,Low income,Madagascar
MDV,Middle East & North Africa,Upper middle income,Maldives
MEA,Middle East & North Africa,,Middle East & North Africa
MEX,Middle East & North Africa,Upper middle income,Mexico
MHL,Middle East & North Africa,Upper middle income,Marshall Islands
MIC,Middle East & North Africa,,Middle income
MKD,Middle East & North Africa,Upper middle income,North Macedonia
